ID,Название,Status,Вердикт,Энтропия_Шеннона,Энтропия_Перестановок,Фрактал_Размерность_GP,Асимметрия_Сдвига,Эксцесс_Хвостов,Автокорреляция_Лаг1,Херст_Хаотичность,Радиус_Облака,Коэф_Сдвига_Аномалий,Доля_Оси_X,Доля_Оси_Y,Доля_Оси_Z,Сила_Закрутки_Ротора,Индекс_Сквозных_Дыр,Коэф_Ветвления,Частота_Фурье
A000001,Number of groups of order n.,Успешно,Аномальный Сдвиг / Выброс,2.8278,2.294,0.0,7.8632,66.7229,-0.0452,0.491,23.35,18.91,0.3419,0.3388,0.3194,1896.52,0.3015,-0.5067,23.0
A000002,Kolakoski sequence: a(n) is length of n-th run; a(1) = 1; sequence consists just of 1's and 2's.,Успешно,Сложная динамическая структура,0.9998,2.2448,3.0,-0.037,-1.9986,-0.3275,0.3324,0.87,1.51,0.4019,0.3982,0.1999,3.62,100000.0,-0.4965,36.0
A000003,Number of classes of primitive positive definite binary quadratic forms of discriminant D = -4n; or equivalently the class number of the quadratic order of discriminant D = -4n.,Успешно,Сложная динамическая структура,2.7397,2.4844,0.0,0.549,-0.2547,0.3249,0.7436,3.8,3.86,0.4348,0.2844,0.2808,39.47,0.1098,-0.4902,1.0
A000004,The zero sequence.,Успешно,Сложная динамическая структура,-0.0,-0.0,1.0,0.0,-3.0,0.0,0.5,0.0,0.0,,,,0.0,100000.0,0.0,1.0
A000005,"d(n) (also called tau(n) or sigma_0(n)), the number of divisors of n.",Успешно,Сложная динамическая структура,2.6523,2.4353,0.0,0.9652,0.3486,-0.4674,0.5741,4.26,2.75,0.4741,0.2877,0.2382,60.44,0.1085,-0.7693,35.0
A000006,Integer part of square root of n-th prime.,Успешно,Строгий кристаллический тренд,4.0726,-0.0,0.0,-0.3964,-0.9271,0.9961,0.7995,6.94,4.12,0.9292,0.0379,0.0329,9.86,0.0346,-0.3269,1.0
A000007,The characteristic function of {0}: a(n) = 0^n.,Успешно,Аномальный Сдвиг / Выброс,0.0776,0.0789,1.0,10.1,100.0096,0.0,0.499,0.02,104.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
A000008,"Number of ways of making change for n cents using coins of 1, 2, 5, 10 cents.",Успешно,Строгий кристаллический тренд,5.8652,-0.0,0.0,0.9069,-0.3961,0.9999,0.7898,222.76,3.08,0.9893,0.0063,0.0044,728.02,0.0011,0.9153,1.0
A000009,Expansion of Product_{m >= 1} (1 + x^m); number of partitions of n into distinct parts; number of partitions of n into odd parts.,Успешно,Строгий кристаллический тренд,5.6867,-0.0,0.0,1.8301,2.4397,1.0,0.7566,1898.8,5.69,0.9965,0.0033,0.0002,6826.32,0.0001,1.0,1.0
A000010,Euler totient function phi(n): count numbers <= n and prime to n.,Успешно,Сложная динамическая структура,4.3967,2.182,0.0,0.8832,0.1946,0.2998,0.7512,24.04,3.3,0.5148,0.3322,0.153,1201.88,0.012,-0.8765,1.0
