ID;Название;Вердикт;Status;Длина_Ряда;Среднее_Значение;Станд_Отклонение;Коэф_Вариации;Асимметрия_Сдвига;Эксцесс_Хвостов;Процентиль_75;Процентиль_95;Коэф_Аномалий_Шага;Энтропия_Шеннона;Энтропия_Перестановок;Приближенная_Энтропия_ApEn;Автокорреляция_Лаг1;Автокорреляция_Лаг2;Автокорреляция_Лаг3;Автокорреляция_Лаг4;Автокорреляция_Лаг5;Энергия_Спектра_Фурье;Главная_Частота_Фурье;Пик_Амплитуды_Фурье;Медианная_Частота_Фурье;Дисперсия_Спектра_Фурье;Спектральная_Энтропия_Фурье;Радиус_Векторного_Облака;Физическая_Длина_Змеи;Доля_Оси_PCA_X;Доля_Оси_PCA_Y;Доля_Оси_PCA_Z;Сила_Ротора_Закрутки;Индекс_Сквозных_Дыр;Коэф_Ветвления_Пирсона;Фрактал_Размерность_GP;Показатель_Херста_Памяти;Девиация_Закона_Бенфорда;Доля_Первых_Единиц_Бенфорда;Бенфорд_Хи_Квадрат;Бенфорд_KL_Дивергенция;Бенфорд_Стат_Вердикт
"=""A000001""";Number of groups of order n.;[Класс 10] Турбулентный Динамический Хаос, ротор=1896.5235, Херст=0.491;Успешно;"=""94.0""";"=""8.4""";"=""28.76""";"=""3.4224""";"=""7.8632""";"=""66.7229""";"=""5.0""";"=""27.25""";"=""18.91""";"=""2.8278""";"=""2.294""";"=""0.3813""";"=""-0.0452""";"=""-0.0318""";"=""-0.0601""";"=""0.0294""";"=""-0.0628""";"=""3854650.0""";"=""47.0""";"=""632.0""";"=""24.0""";"=""94.09""";"=""5.4782""";"=""23.35""";"=""2951.96""";"=""0.3419""";"=""0.3388""";"=""0.3194""";"=""1896.52""";"=""0.3015""";"=""-0.5067""";"=""0.0""";"=""0.491""";"=""0.07""";"=""0.4946""";"=""45.1398""";"=""0.4995""";Нетипичный ряд
"=""A000002""";"Kolakoski sequence: a(n) is length of n-th run; a(1) = 1; sequence consists just of 1's and 2's.";[Класс 18] Сверхсложная нелинейная форма, энтропия=2.2448;Успешно;"=""108.0""";"=""1.51""";"=""0.5""";"=""0.3312""";"=""-0.037""";"=""-1.9986""";"=""2.0""";"=""2.0""";"=""1.51""";"=""0.9998""";"=""2.2448""";"=""0.6931""";"=""-0.3275""";"=""-0.3397""";"=""0.5428""";"=""-0.327""";"=""-0.3402""";"=""1458.0""";"=""36.0""";"=""26.96""";"=""38.0""";"=""3.99""";"=""5.1318""";"=""0.87""";"=""147.34""";"=""0.4019""";"=""0.3982""";"=""0.1999""";"=""3.62""";"=""100000.0""";"=""-0.4965""";"=""3.0""";"=""0.3324""";"=""0.1908""";"=""0.4907""";"=""137.4619""";"=""1.1262""";Нетипичный ряд
"=""A000003""";"Number of classes of primitive positive definite binary quadratic forms of discriminant D = -4n; or equivalently the class number of the quadratic order of discriminant D = -4n.";[Класс 18] Сверхсложная нелинейная форма, энтропия=2.4844;Успешно;"=""100.0""";"=""4.77""";"=""2.36""";"=""0.4951""";"=""0.549""";"=""-0.2547""";"=""6.0""";"=""8.05""";"=""3.86""";"=""2.7397""";"=""2.4844""";"=""1.4787""";"=""0.3249""";"=""0.3035""";"=""0.7428""";"=""0.2806""";"=""0.4006""";"=""27910.0""";"=""1.0""";"=""92.86""";"=""21.0""";"=""17.18""";"=""5.0776""";"=""3.8""";"=""412.41""";"=""0.4348""";"=""0.2844""";"=""0.2808""";"=""39.47""";"=""0.1098""";"=""-0.4902""";"=""0.0""";"=""0.7436""";"=""0.1337""";"=""0.08""";"=""119.9042""";"=""0.7096""";Нетипичный ряд
"=""A000004""";The zero sequence.;[Класс 11] Сплетенная Нелинейная Стохастика, Херст Памяти=0.5;Успешно;"=""102.0""";"=""0.0""";"=""0.0""";"=""1.0""";"=""0.0""";"=""-3.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""-0.0""";"=""-0.0""";"=""-0.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""1.0""";"=""0.0""";"=""nan""";"=""0.0""";"=""-0.0""";"=""0.0""";"=""0.0""";"=""nan""";"=""nan""";"=""nan""";"=""0.0""";"=""100000.0""";"=""0.0""";"=""1.0""";"=""0.5""";"=""1.0""";"=""0.301""";"=""-1.0""";"=""4.0""";Слишком короткий
"=""A000005""";d(n) (also called tau(n) or sigma_0(n)), the number of divisors of n.;[Класс 10] Турбулентный Динамический Хаос, ротор=60.4419, Херст=0.5741;Успешно;"=""104.0""";"=""4.83""";"=""2.7""";"=""0.5596""";"=""0.9652""";"=""0.3486""";"=""6.0""";"=""10.0""";"=""2.75""";"=""2.6523""";"=""2.4353""";"=""1.6538""";"=""-0.4674""";"=""0.3211""";"=""-0.1683""";"=""0.4742""";"=""-0.4108""";"=""56390.0""";"=""52.0""";"=""184.0""";"=""34.0""";"=""26.87""";"=""4.9803""";"=""4.26""";"=""727.01""";"=""0.4741""";"=""0.2877""";"=""0.2382""";"=""60.44""";"=""0.1085""";"=""-0.7693""";"=""0.0""";"=""0.5741""";"=""0.1274""";"=""0.0769""";"=""106.0124""";"=""0.6733""";Нетипичный ряд
"=""A000006""";Integer part of square root of n-th prime.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9961;Успешно;"=""71.0""";"=""11.13""";"=""4.84""";"=""0.4353""";"=""-0.3964""";"=""-0.9271""";"=""15.0""";"=""18.0""";"=""4.12""";"=""4.0726""";"=""-0.0""";"=""2.4848""";"=""0.9961""";"=""0.995""";"=""0.9947""";"=""0.9956""";"=""0.9959""";"=""59138.0""";"=""1.0""";"=""184.74""";"=""6.0""";"=""33.02""";"=""4.396""";"=""6.94""";"=""48.24""";"=""0.9292""";"=""0.0379""";"=""0.0329""";"=""9.86""";"=""0.0346""";"=""-0.3269""";"=""0.0""";"=""0.7995""";"=""0.1779""";"=""0.6761""";"=""52.317""";"=""0.5312""";Нетипичный ряд
"=""A000007""";The characteristic function of {0}: a(n) = 0^n.;[Класс 11] Сплетенная Нелинейная Стохастика, Херст Памяти=0.499;Успешно;"=""105.0""";"=""0.01""";"=""0.1""";"=""10.198""";"=""10.1""";"=""100.0096""";"=""0.0""";"=""0.0""";"=""104.0""";"=""0.0776""";"=""0.0789""";"=""0.1169""";"=""0.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""52.0""";"=""1.0""";"=""1.0""";"=""26.0""";"=""0.0""";"=""5.7004""";"=""0.02""";"=""1.0""";"=""1.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""1.0""";"=""0.0""";"=""1.0""";"=""0.499""";"=""1.0""";"=""0.301""";"=""-1.0""";"=""4.0""";Слишком короткий
"=""A000008""";Number of ways of making change for n cents using coins of 1, 2, 5, 10 cents.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9999;Успешно;"=""61.0""";"=""157.21""";"=""158.96""";"=""1.0111""";"=""0.9069""";"=""-0.3961""";"=""260.0""";"=""476.0""";"=""3.08""";"=""5.8652""";"=""-0.0""";"=""1.0712""";"=""0.9999""";"=""0.9999""";"=""0.9997""";"=""0.9996""";"=""0.9994""";"=""47013805.0""";"=""1.0""";"=""5328.61""";"=""6.0""";"=""995.35""";"=""4.2075""";"=""222.76""";"=""911.69""";"=""0.9893""";"=""0.0063""";"=""0.0044""";"=""728.02""";"=""0.0011""";"=""0.9153""";"=""0.0""";"=""0.7898""";"=""0.0061""";"=""0.2787""";"=""4.4166""";"=""0.0569""";Значим (Хи-Квадрат OK)
"=""A000009""";"Expansion of Product_{m >= 1} (1 + x^m); number of partitions of n into distinct parts; number of partitions of n into odd parts.";[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""56.0""";"=""1026.39""";"=""1592.31""";"=""1.5514""";"=""1.8301""";"=""2.4397""";"=""1301.5""";"=""4716.5""";"=""5.69""";"=""5.6867""";"=""-0.0""";"=""0.5003""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""0.9999""";"=""0.9998""";"=""3981219744.0""";"=""1.0""";"=""43268.98""";"=""8.0""";"=""8664.64""";"=""4.2806""";"=""1898.8""";"=""9979.74""";"=""0.9965""";"=""0.0033""";"=""0.0002""";"=""6826.32""";"=""0.0001""";"=""1.0""";"=""0.0""";"=""0.7566""";"=""0.0026""";"=""0.3036""";"=""2.1744""";"=""0.032""";Значим (Хи-Квадрат OK)
"=""A000010""";Euler totient function phi(n): count numbers <= n and prime to n.;[Класс 18] Сверхсложная нелинейная форма, энтропия=2.182;Успешно;"=""69.0""";"=""21.3""";"=""15.42""";"=""0.7238""";"=""0.8832""";"=""0.1946""";"=""30.0""";"=""50.4""";"=""3.3""";"=""4.3967""";"=""2.182""";"=""1.6552""";"=""0.2998""";"=""0.8245""";"=""0.3897""";"=""0.8085""";"=""0.2878""";"=""565959.0""";"=""1.0""";"=""460.45""";"=""13.0""";"=""93.87""";"=""4.531""";"=""24.04""";"=""1742.23""";"=""0.5148""";"=""0.3322""";"=""0.153""";"=""1201.88""";"=""0.012""";"=""-0.8765""";"=""0.0""";"=""0.7512""";"=""0.0179""";"=""0.2899""";"=""15.1709""";"=""0.2327""";Значим (Хи-Квадрат OK)
