ID;Последовательность;Число_Фидлера_Графа;Энтропия_Сети;Тип_Шума
FIEDLER_NOISE_1;33.0, 70.0, 30.0, 21.0, 14.0, 27.0, 93.0, 25.0, 68.0, 66.0, 79.0, 27.0, 72.0, 33.0, 45.0, 25.0, 37.0, 71.0, 33.0, 13.0, 93.0, 10.0, 71.0, 63.0, 86.0, 74.0, 89.0, 82.0, 58.0, 60.0, 44.0, 14.0, 13.0, 25.0, 65.0, 97.0, 13.0, 55.0, 59.0, 48.0, 20.0, 39.0, 64.0, 82.0, 38.0, 9.0, 39.0, 88.0, 50.0, 80.0, 59.0, 63.0, 54.0, 33.0, 80.0, 10.0, 73.0, 88.0, 37.0, 48.0, 75.0, 37.0, 31.0, 80.0, 56.0, 48.0, 66.0, 57.0, 49.0, 100.0, 17.0, 39.0, 13.0, 33.0, 71.0, 67.0, 97.0, 33.0, 99.0, 65.0, 20.0, 15.0, 59.0, 81.0, 55.0, 65.0, 81.0, 20.0, 27.0, 96.0, 42.0, 92.0, 27.0, 58.0, 54.0, 17.0, 59.0, 18.0, 85.0, 60.0;"=""0.0309""";"=""2.5738""";Топологический Шум (Visibility)
FIEDLER_NOISE_2;87.0, 87.0, 69.0, 71.0, 35.0, 63.0, 45.0, 95.0, 101.0, 84.0, 63.0, 30.0, 29.0, 52.0, 20.0, 40.0, 40.0, 27.0, 23.0, 80.0, 92.0, 26.0, 69.0, 73.0, 46.0, 13.0, 51.0, 57.0, 37.0, 53.0, 19.0, 68.0, 84.0, 85.0, 52.0, 23.0, 53.0, 53.0, 80.0, 92.0, 66.0, 18.0, 59.0, 26.0, 84.0, 92.0, 63.0, 61.0, 38.0, 102.0, 30.0, 41.0, 67.0, 11.0, 24.0, 89.0, 58.0, 21.0, 75.0, 54.0, 64.0, 76.0, 52.0, 46.0, 32.0, 77.0, 46.0, 66.0, 31.0, 78.0, 19.0, 56.0, 63.0, 35.0, 11.0, 40.0, 30.0, 81.0, 61.0, 42.0, 93.0, 17.0, 23.0, 10.0, 92.0, 55.0, 73.0, 44.0, 60.0, 49.0, 50.0, 44.0, 25.0, 32.0, 72.0, 46.0, 61.0, 76.0, 43.0, 23.0;"=""0.0318""";"=""2.5449""";Топологический Шум (Visibility)
FIEDLER_NOISE_3;11.0, 99.0, 102.0, 83.0, 76.0, 60.0, 30.0, 101.0, 97.0, 36.0, 33.0, 60.0, 79.0, 55.0, 25.0, 74.0, 31.0, 34.0, 29.0, 21.0, 37.0, 45.0, 18.0, 87.0, 56.0, 45.0, 39.0, 67.0, 54.0, 84.0, 76.0, 58.0, 67.0, 85.0, 28.0, 33.0, 72.0, 18.0, 31.0, 69.0, 73.0, 8.0, 99.0, 74.0, 30.0, 91.0, 73.0, 57.0, 75.0, 35.0, 39.0, 50.0, 54.0, 41.0, 24.0, 71.0, 83.0, 91.0, 33.0, 54.0, 16.0, 26.0, 43.0, 43.0, 81.0, 13.0, 85.0, 62.0, 14.0, 18.0, 15.0, 96.0, 17.0, 79.0, 11.0, 71.0, 58.0, 54.0, 104.0, 72.0, 71.0, 64.0, 47.0, 75.0, 55.0, 83.0, 60.0, 12.0, 55.0, 57.0, 39.0, 61.0, 28.0, 50.0, 20.0, 87.0, 31.0, 55.0, 33.0, 25.0;"=""0.0743""";"=""2.5718""";Топологический Шум (Visibility)
FIEDLER_NOISE_4;76.0, 16.0, 84.0, 27.0, 36.0, 26.0, 92.0, 68.0, 39.0, 90.0, 56.0, 11.0, 41.0, 81.0, 69.0, 50.0, 53.0, 93.0, 49.0, 68.0, 87.0, 63.0, 55.0, 70.0, 57.0, 35.0, 59.0, 28.0, 27.0, 74.0, 66.0, 81.0, 83.0, 19.0, 87.0, 49.0, 54.0, 68.0, 72.0, 65.0, 90.0, 17.0, 26.0, 50.0, 92.0, 66.0, 43.0, 99.0, 100.0, 62.0, 96.0, 65.0, 63.0, 58.0, 41.0, 76.0, 21.0, 77.0, 77.0, 74.0, 26.0, 37.0, 77.0, 61.0, 67.0, 48.0, 86.0, 66.0, 43.0, 38.0, 57.0, 47.0, 46.0, 38.0, 77.0, 76.0, 60.0, 42.0, 32.0, 72.0, 33.0, 92.0, 38.0, 85.0, 95.0, 30.0, 34.0, 36.0, 85.0, 68.0, 13.0, 32.0, 13.0, 49.0, 35.0, 62.0, 72.0, 102.0, 88.0, 50.0;"=""0.0191""";"=""2.5545""";Топологический Шум (Visibility)
FIEDLER_NOISE_5;36.0, 44.0, 77.0, 73.0, 45.0, 68.0, 47.0, 70.0, 47.0, 75.0, 31.0, 74.0, 75.0, 67.0, 50.0, 36.0, 89.0, 59.0, 27.0, 50.0, 15.0, 19.0, 52.0, 31.0, 48.0, 84.0, 88.0, 50.0, 19.0, 8.0, 79.0, 88.0, 43.0, 54.0, 40.0, 10.0, 74.0, 46.0, 77.0, 11.0, 49.0, 82.0, 106.0, 37.0, 25.0, 55.0, 94.0, 61.0, 62.0, 33.0, 32.0, 25.0, 92.0, 52.0, 76.0, 58.0, 55.0, 58.0, 30.0, 27.0, 86.0, 19.0, 72.0, 18.0, 76.0, 88.0, 10.0, 33.0, 52.0, 10.0, 86.0, 75.0, 89.0, 31.0, 75.0, 69.0, 94.0, 76.0, 65.0, 17.0, 95.0, 61.0, 56.0, 55.0, 36.0, 99.0, 95.0, 9.0, 44.0, 37.0, 12.0, 25.0, 58.0, 93.0, 21.0, 58.0, 92.0, 80.0, 94.0, 28.0;"=""0.0384""";"=""2.5781""";Топологический Шум (Visibility)
FIEDLER_NOISE_6;67.0, 32.0, 27.0, 39.0, 35.0, 47.0, 52.0, 6.0, 94.0, 42.0, 45.0, 11.0, 75.0, 34.0, 74.0, 90.0, 33.0, 10.0, 68.0, 87.0, 58.0, 31.0, 6.0, 96.0, 32.0, 71.0, 7.0, 41.0, 55.0, 40.0, 60.0, 49.0, 19.0, 22.0, 42.0, 8.0, 97.0, 44.0, 63.0, 70.0, 70.0, 87.0, 93.0, 25.0, 34.0, 80.0, 45.0, 19.0, 82.0, 69.0, 78.0, 62.0, 33.0, 38.0, 70.0, 51.0, 91.0, 78.0, 81.0, 60.0, 67.0, 50.0, 63.0, 72.0, 54.0, 42.0, 30.0, 15.0, 67.0, 33.0, 77.0, 46.0, 37.0, 58.0, 89.0, 90.0, 63.0, 76.0, 12.0, 37.0, 11.0, 21.0, 23.0, 81.0, 8.0, 30.0, 52.0, 22.0, 65.0, 37.0, 72.0, 86.0, 34.0, 74.0, 67.0, 85.0, 71.0, 54.0, 48.0, 40.0;"=""0.0219""";"=""2.5789""";Топологический Шум (Visibility)
FIEDLER_NOISE_7;41.0, 70.0, 68.0, 45.0, 8.0, 55.0, 75.0, 71.0, 66.0, 55.0, 95.0, 31.0, 91.0, 65.0, 81.0, 10.0, 101.0, 49.0, 86.0, 92.0, 67.0, 76.0, 64.0, 13.0, 59.0, 14.0, 97.0, 77.0, 15.0, 47.0, 88.0, 39.0, 40.0, 30.0, 86.0, 69.0, 100.0, 90.0, 84.0, 14.0, 30.0, 32.0, 95.0, 101.0, 98.0, 49.0, 65.0, 59.0, 13.0, 89.0, 23.0, 82.0, 89.0, 74.0, 85.0, 82.0, 86.0, 96.0, 30.0, 24.0, 27.0, 41.0, 73.0, 58.0, 20.0, 79.0, 81.0, 38.0, 71.0, 73.0, 54.0, 54.0, 88.0, 18.0, 90.0, 70.0, 24.0, 97.0, 23.0, 34.0, 100.0, 83.0, 40.0, 68.0, 23.0, 57.0, 31.0, 35.0, 92.0, 57.0, 66.0, 91.0, 60.0, 48.0, 81.0, 16.0, 32.0, 59.0, 58.0, 13.0;"=""0.0322""";"=""2.5677""";Топологический Шум (Visibility)
FIEDLER_NOISE_8;41.0, 48.0, 57.0, 71.0, 33.0, 50.0, 31.0, 93.0, 41.0, 56.0, 63.0, 91.0, 101.0, 38.0, 10.0, 39.0, 60.0, 74.0, 94.0, 83.0, 85.0, 53.0, 4.0, 78.0, 52.0, 86.0, 74.0, 61.0, 40.0, 17.0, 62.0, 17.0, 55.0, 59.0, 63.0, 24.0, 54.0, 92.0, 41.0, 94.0, 13.0, 51.0, 91.0, 36.0, 15.0, 21.0, 76.0, 56.0, 86.0, 41.0, 45.0, 18.0, 37.0, 21.0, 33.0, 47.0, 17.0, 38.0, 13.0, 70.0, 35.0, 36.0, 20.0, 9.0, 84.0, 43.0, 92.0, 84.0, 63.0, 23.0, 76.0, 92.0, 28.0, 52.0, 21.0, 88.0, 44.0, 81.0, 84.0, 21.0, 59.0, 62.0, 97.0, 36.0, 19.0, 32.0, 32.0, 24.0, 35.0, 35.0, 88.0, 68.0, 17.0, 76.0, 91.0, 22.0, 85.0, 83.0, 42.0, 86.0;"=""0.0578""";"=""2.5531""";Топологический Шум (Visibility)
FIEDLER_NOISE_9;92.0, 92.0, 81.0, 48.0, 16.0, 47.0, 45.0, 46.0, 89.0, 73.0, 12.0, 102.0, 18.0, 86.0, 17.0, 96.0, 65.0, 40.0, 57.0, 50.0, 42.0, 13.0, 47.0, 41.0, 26.0, 31.0, 70.0, 37.0, 12.0, 50.0, 76.0, 40.0, 27.0, 54.0, 89.0, 98.0, 36.0, 21.0, 9.0, 36.0, 21.0, 71.0, 62.0, 33.0, 58.0, 79.0, 32.0, 35.0, 30.0, 26.0, 12.0, 72.0, 42.0, 30.0, 35.0, 52.0, 60.0, 13.0, 52.0, 19.0, 42.0, 94.0, 95.0, 86.0, 72.0, 34.0, 94.0, 56.0, 29.0, 15.0, 69.0, 96.0, 70.0, 48.0, 76.0, 63.0, 38.0, 37.0, 40.0, 24.0, 55.0, 66.0, 16.0, 11.0, 16.0, 78.0, 94.0, 9.0, 63.0, 21.0, 16.0, 66.0, 19.0, 59.0, 14.0, 85.0, 87.0, 49.0, 12.0, 52.0;"=""0.0431""";"=""2.5401""";Топологический Шум (Visibility)
FIEDLER_NOISE_10;69.0, 79.0, 74.0, 30.0, 66.0, 81.0, 8.0, 23.0, 53.0, 66.0, 85.0, 32.0, 62.0, 9.0, 12.0, 96.0, 66.0, 60.0, 31.0, 75.0, 26.0, 30.0, 45.0, 60.0, 101.0, 22.0, 78.0, 91.0, 55.0, 56.0, 62.0, 33.0, 90.0, 21.0, 4.0, 38.0, 87.0, 36.0, 56.0, 58.0, 35.0, 32.0, 34.0, 11.0, 53.0, 71.0, 84.0, 83.0, 93.0, 13.0, 38.0, 30.0, 21.0, 99.0, 81.0, 19.0, 29.0, 11.0, 72.0, 23.0, 18.0, 98.0, 91.0, 56.0, 16.0, 71.0, 34.0, 86.0, 46.0, 46.0, 102.0, 31.0, 42.0, 86.0, 94.0, 17.0, 75.0, 29.0, 80.0, 86.0, 93.0, 74.0, 24.0, 18.0, 13.0, 58.0, 43.0, 40.0, 16.0, 37.0, 63.0, 26.0, 44.0, 79.0, 26.0, 88.0, 12.0, 62.0, 66.0, 95.0;"=""0.0374""";"=""2.5433""";Топологический Шум (Visibility)
